RR,slip,longslipRL,FR,signal,pitch,ax,rollrate,pitchrate,longslipFL,sideslipRR,longslipFR,FyFL,FyRL,vx,sideslipRL,longslipRR,sideslipFR,x,FxRR,yaw,FyFR,FxRL,steeringangel,FxFR,yawrate,vy,roll,FyRR,RL,gas,y,brake,sideslipFL,FxFL,slip1,az,signal,FL,ay
9.749645437176538,0.0,0.2582881676669564,1.412606177177754,0.0,-0.0059769587409868,5.827299885074897,-0.0181293771284812,-0.1153599049920448,-0.0016023999950237,-0.0524206072609591,-0.0016865729959238,2257.8375564234298,-1135.3717907518082,0.4181489734914455,0.0463545857379567,0.3018200693216339,0.0375313725904534,4564.035084867576,4761.853960221517,-0.0342838211044211,-2233.65949814759,4892.449896656616,0.0,-153.24249284130582,0.0005163817995849,0.0086290734758801,-0.0012557739440649,1097.7945357695742,8.67257859741691,1.593672431164815,-4850.897166483646,0.0,-0.0361108464018693,-156.04296626084815,0.0,-0.2497813638710165,1.2884353744753825,1.4172924439133825,-0.0078575685972322
10.840870969981196,0.0,0.3167299644727446,1.6040847532764644,0.0,-0.007166085518928,5.90998723526948,-0.0175986408102507,-0.1215865119213329,-0.0016102543943519,-0.0497885665274794,-0.0017216434622891,2213.924002437909,-911.616554520456,0.4768818230752742,0.0448102688404224,0.3770194959734061,0.0370843077690711,4564.039589813538,4818.156666789017,-0.0342785792885599,-2193.2707422313047,4961.580368277314,0.0,-154.38097865870228,0.0005340633042409,0.0084821604758098,-0.0014345252052966,858.8209187576059,9.475089811544937,1.5842054764133502,-4850.89723548992,0.0,-0.0351254147379315,-157.28635210754047,0.0,-0.2705705972595679,1.3922704772547134,1.6089129785188847,-0.0198814906578981
11.86709992717376,0.0,0.3789230346371114,1.7973248550700025,0.0,-0.0084089143112741,5.996758560887867,-0.0166956030342306,-0.1262394490259854,-0.0015708976726635,-0.046011574005438,-0.0016934982060627,2132.757995497343,-729.1512061298083,0.5364383598646808,0.0421389190314035,0.4604894921474063,0.0360769062991226,4564.0446865257045,4872.263597043457,-0.0342732162856292,-2124.98460746789,5034.145096257717,0.0,-151.91671313186998,0.0005299504955512,0.0081785720625377,-0.0016057824895724,664.534561012948,10.178907245275314,1.5765132461270803,-4850.897327137911,0.0,-0.0336716025885451,-155.06618015978012,0.0,-0.2685660987039318,1.4892862399417186,1.8017614046549244,-0.0361122022533547
12.80886153211975,0.0,0.4415943316598956,1.9897610316371528,0.0,-0.0096895361308754,6.0931634976714975,-0.0154896718725551,-0.1293395868005964,-0.0015407671705111,-0.0418852602276347,-0.001673273277769,2033.1140346696327,-585.7643566154129,0.5968930102913481,0.0392830401007122,0.54943392311776,0.034671921579356,4564.050383655092,4934.273992502406,-0.0342682067589994,-2034.011466288548,5116.179641194993,0.0,-151.03648782222538,0.000469367135927,0.0077282054386118,-0.0017663785994868,512.8937449678723,10.756993093645772,1.569309074446655,-4850.8974433174335,0.0,-0.032122033202248,-154.41695506617316,0.0,-0.2573945610390313,1.579007479379901,1.9940356236742471,-0.0481608270361126
13.711375588009188,0.0,0.5045045772647576,2.182227495244072,0.0,-0.0109935921544523,6.197798829526505,-0.0139490965820414,-0.1310822991935783,-0.0015190654505014,-0.0378260358254392,-0.0016577587532039,1925.3731457632537,-477.26433706301975,0.6583399671103305,0.0367242955153278,0.6445318416679006,0.0331828345698299,4564.056690700757,5004.871687065522,-0.0342640616003413,-1932.0924229428872,5205.20638746401,0.0,-150.23479717942055,0.0003634738058577,0.0071747176309661,-0.0019130721024462,397.4833734777375,11.254595222102868,1.5620781216285575,-4850.897585572616,0.0,-0.030476593443284,-153.97832075020207,0.0,-0.2296460602946861,1.660994740983941,2.1864725206238,-0.0577116540801878
14.587214572422036,0.0,0.5674074687861196,2.3753572458800507,0.0,-0.0123080406626897,6.307216494154471,-0.0121104106954392,-0.1315555822983539,-0.001496393072408,-0.0339903562350442,-0.0016363549561916,1813.526803416584,-396.0683186740368,0.720849260196554,0.0344897679917313,0.7459178140543963,0.0316194410659425,4564.063618009096,5081.160370590915,-0.0342612138024811,-1827.158872910398,5297.000620788342,0.0,-149.64771233141082,0.0002137256367666,0.0065290009212912,-0.002042673098241,310.19537595161387,11.689109161691771,1.5546677725321485,-4850.897755210249,0.0,-0.0288051640297231,-153.59292138899494,0.0,-0.190806771472992,1.734846451188034,2.379658719436476,-0.0673753199921092
15.438952660622856,0.0,0.629974338450123,2.5692949826828047,0.0,-0.0136205071959916,6.418330463723212,-0.0100206890868518,-0.1308160665406567,-0.0014764235240142,-0.0303828808946757,-0.0016149046917067,1702.089662693867,-334.63294505418924,0.7844558397805889,0.0324747397552784,0.853485902620763,0.0299700543546517,4564.071176401833,5160.50456180469,-0.0342600880265558,-1720.907256155661,5388.905653601449,0.0,-149.29615739478334,2.4726121484867285e-05,0.0057998198112513,-0.0021524766550227,243.8551750073716,12.069900118687295,1.5470794705675837,-4850.897953497941,0.0,-0.0271441610740302,-153.38197572019783,0.0,-0.1443719315493413,1.8002008843530102,2.573766092744146,-0.0750854083945441
16.267834228713845,0.0,0.6918676706273872,2.7641684157722843,0.0,-0.0149191660442521,6.527811044056454,-0.007720800384852,-0.1289190618421648,-0.0014596714479775,-0.0269510465455393,-0.0015940192945018,1591.9032475886718,-286.9846484317804,0.849162973750222,0.0305855491991539,0.9671648328984238,0.0282745847248033,4564.079376852273,5239.793594219746,-0.0342610309653754,-1614.7457913453582,5478.487834451277,0.0,-149.08037974268677,-0.0001962664430317,0.0050082398554038,-0.0022401867180254,192.7292180180815,12.403359816362286,1.5393668729212029,-4850.89818153428,0.0,-0.0254890069321627,-153.24912883602028,0.0,-0.0927445633152812,1.8567379344983332,2.768899615263237,-0.0809113798330288
17.085156513019456,0.0,0.7536030830284662,2.960039301190823,0.0,-0.0161928736056888,6.633621182269296,-0.0052735333992064,-0.1259547800717333,-0.0014480767935275,-0.0236541025671414,-0.0015741281253363,1484.3811555717075,-248.84225914543248,0.9149431387150372,0.0287690630762082,1.0876687869801058,0.0265456574748487,4564.088230165244,5317.4550642195845,-0.0342643578409502,-1509.8931068033833,5563.899654216959,0.0,-148.97497549237187,-0.0004508008639039,0.0041773118667324,-0.0023040269628064,155.9095200661452,12.70599735318147,1.5316031964861951,-4850.898440210467,0.0,-0.0238606636211384,-153.23718041879016,0.0,-0.0395251045897494,1.9041806831810315,2.96512051646434,-0.0818987979963557
17.90088317221173,0.0,0.8159908148936809,3.1568996040240536,0.0,-0.0174315237974583,6.735182805243088,-0.0027222306040593,-0.1220116012804285,-0.0014391814317292,-0.0204034455884285,-0.0015560024661756,1379.964188310553,-217.4392160891993,0.9817556649034872,0.027068187649012,1.2158035852246565,0.024806096231857,4564.097746758824,5393.960570128907,-0.034270513386682,-1407.0933937841698,5644.401941512677,0.0,-148.92755753176277,-0.0007589143957566,0.0033597727860299,-0.0023428023347828,131.87120856748302,12.994002557629903,1.523840172875658,-4850.898730005513,0.0,-0.022268071077777,-153.29582664197935,0.0,0.0167881282575246,1.9422967558420887,3.162570601159401,-0.0791678772879679
